Timestamp,FuelConsumption,ProductionLoad,Temperature,CurrentNox,NextHourNox,RiskLabel
2024-01-01 00:00:00,358.56,44.52,823.85,52.25,78.18,Safe
2024-01-01 01:00:00,375.21,43.45,820.91,58.89,52.77,Safe
2024-01-01 02:00:00,375.02,41.6,821.76,56.59,57.69,Safe
2024-01-01 03:00:00,423.14,54.77,857.21,68.27,76.3,Safe
2024-01-01 04:00:00,344.35,39.21,852.97,39.05,43.55,Safe
2024-01-01 05:00:00,382.12,42.25,840.55,55.27,50.18,Safe
2024-01-01 06:00:00,448.87,57.03,873.45,92.72,82.05,Warning
2024-01-01 07:00:00,469.05,63.98,895.9,86.99,88.52,Warning
2024-01-01 08:00:00,476.69,65.71,926.62,86.29,88.07,Warning
2024-01-01 09:00:00,515.25,80.77,1007.86,115.24,110.94,Critical
2024-01-01 10:00:00,549.1,83.51,1040.99,124.1,127.97,Critical
2024-01-01 11:00:00,552.4,87.59,1012.24,126.15,124.94,Critical
2024-01-01 12:00:00,562.48,88.83,1050.43,137.01,154.24,Critical
2024-01-01 13:00:00,508.08,75.74,945.06,105.14,110.38,Critical
2024-01-01 14:00:00,488.78,72.62,972.7,109.35,110.09,Critical
2024-01-01 15:00:00,494.48,76.63,980.78,105.16,103.36,Critical
2024-01-01 16:00:00,555.33,89.12,1088.21,139.78,150.18,Critical
2024-01-01 17:00:00,555.97,85.54,993.69,128.7,129.44,Critical
2024-01-01 18:00:00,434.46,60.16,930.95,86.5,82.24,Warning
2024-01-01 19:00:00,503.31,72.7,926.02,104.07,94.62,Warning
2024-01-01 20:00:00,495.0,71.17,926.65,113.91,101.51,Critical
2024-01-01 21:00:00,458.65,65.71,891.65,93.0,91.92,Warning
2024-01-01 22:00:00,467.48,62.01,915.56,76.95,76.41,Safe
2024-01-01 23:00:00,445.7,62.67,887.53,81.97,87.84,Warning
2024-01-02 00:00:00,379.41,39.57,768.19,43.14,42.42,Safe
2024-01-02 01:00:00,372.96,41.72,813.06,65.52,68.46,Safe
2024-01-02 02:00:00,408.66,52.22,871.04,75.7,75.34,Safe
2024-01-02 03:00:00,379.61,48.01,840.93,73.07,68.64,Safe
2024-01-02 04:00:00,373.56,43.7,814.93,44.79,49.28,Safe
2024-01-02 05:00:00,416.75,54.9,914.74,80.37,83.28,Warning
2024-01-02 06:00:00,455.9,68.38,945.11,78.62,84.64,Warning
2024-01-02 07:00:00,430.47,58.38,909.63,63.12,70.1,Safe
2024-01-02 08:00:00,457.03,67.07,938.49,84.99,80.67,Warning
2024-01-02 09:00:00,512.12,75.98,955.75,115.48,104.12,Critical
2024-01-02 10:00:00,550.57,83.07,1027.45,110.38,110.45,Critical
2024-01-02 11:00:00,535.06,88.06,1025.87,120.48,118.17,Critical
2024-01-02 12:00:00,600.0,94.77,1071.85,146.38,144.15,Critical
2024-01-02 13:00:00,565.48,91.82,1065.82,136.63,139.2,Critical
2024-01-02 14:00:00,571.51,96.29,1038.74,150.0,135.7,Critical
2024-01-02 15:00:00,556.61,86.5,997.09,120.17,127.05,Critical
2024-01-02 16:00:00,537.11,85.84,1049.21,116.84,112.8,Critical
2024-01-02 17:00:00,498.46,74.9,959.9,92.32,92.57,Warning
2024-01-02 18:00:00,425.26,57.73,875.09,69.66,71.95,Safe
2024-01-02 19:00:00,473.53,71.24,959.86,86.14,101.28,Critical
2024-01-02 20:00:00,511.22,75.27,967.87,89.03,87.31,Warning
2024-01-02 21:00:00,478.43,70.61,962.24,110.87,97.72,Warning
2024-01-02 22:00:00,383.01,50.78,852.78,60.68,81.13,Warning
2024-01-02 23:00:00,405.31,49.4,851.37,82.44,75.94,Safe
2024-01-03 00:00:00,414.08,57.74,873.26,64.45,64.46,Safe
2024-01-03 01:00:00,415.85,58.0,894.26,69.43,78.34,Safe
2024-01-03 02:00:00,445.54,57.21,910.36,70.51,72.05,Safe
2024-01-03 03:00:00,409.17,56.48,869.91,64.18,72.96,Safe
2024-01-03 04:00:00,348.41,45.21,846.19,58.0,52.25,Safe
2024-01-03 05:00:00,396.52,46.95,833.62,62.04,62.29,Safe
2024-01-03 06:00:00,452.31,64.14,936.86,92.01,90.58,Warning
2024-01-03 07:00:00,444.15,61.8,911.83,91.28,89.77,Warning
2024-01-03 08:00:00,437.92,60.58,902.16,87.03,80.37,Warning
2024-01-03 09:00:00,526.12,80.72,1011.29,104.36,106.97,Critical
2024-01-03 10:00:00,528.02,84.64,1049.9,114.11,114.76,Critical
2024-01-03 11:00:00,600.0,100.0,1100.0,143.97,127.55,Critical
2024-01-03 12:00:00,574.97,98.91,1100.0,150.0,148.58,Critical
2024-01-03 13:00:00,514.55,77.08,977.29,112.08,98.54,Warning
2024-01-03 14:00:00,529.71,80.18,1035.46,114.7,116.89,Critical
2024-01-03 15:00:00,530.2,85.21,1040.14,123.85,130.93,Critical
2024-01-03 16:00:00,483.27,74.4,973.71,94.83,103.76,Critical
2024-01-03 17:00:00,527.0,78.19,988.25,111.1,115.03,Critical
2024-01-03 18:00:00,439.29,63.29,937.96,90.43,87.76,Warning
2024-01-03 19:00:00,448.87,64.34,908.36,82.82,66.54,Safe
2024-01-03 20:00:00,494.62,70.55,913.53,88.08,78.15,Safe
2024-01-03 21:00:00,499.09,74.65,974.84,101.21,106.59,Critical
2024-01-03 22:00:00,398.68,55.96,905.98,67.21,65.34,Safe
2024-01-03 23:00:00,457.62,58.29,926.46,69.19,77.98,Safe
2024-01-04 00:00:00,355.14,40.64,800.84,40.64,44.78,Safe
2024-01-04 01:00:00,375.16,45.2,826.96,41.91,38.93,Safe
2024-01-04 02:00:00,380.18,44.15,832.18,43.19,58.1,Safe
2024-01-04 03:00:00,376.95,42.05,804.43,40.11,55.54,Safe
2024-01-04 04:00:00,429.54,50.52,863.96,73.95,77.04,Safe
2024-01-04 05:00:00,339.52,40.69,801.57,55.34,48.64,Safe
2024-01-04 06:00:00,487.2,68.91,966.8,82.76,88.98,Warning
2024-01-04 07:00:00,448.8,59.6,913.91,91.99,85.65,Warning
2024-01-04 08:00:00,446.32,62.06,928.13,72.98,70.34,Safe
2024-01-04 09:00:00,577.38,91.59,1053.43,136.32,151.01,Critical
2024-01-04 10:00:00,600.0,97.61,1100.0,143.04,154.13,Critical
2024-01-04 11:00:00,516.05,83.85,1029.9,120.08,119.37,Critical
2024-01-04 12:00:00,511.42,71.73,964.09,90.86,94.86,Warning
2024-01-04 13:00:00,514.82,84.16,1004.06,99.06,106.42,Critical
2024-01-04 14:00:00,558.35,93.56,1065.66,124.04,134.61,Critical
2024-01-04 15:00:00,503.49,76.79,986.47,108.29,105.28,Critical
2024-01-04 16:00:00,534.87,76.98,967.57,123.33,113.63,Critical
2024-01-04 17:00:00,491.48,73.95,963.32,91.4,100.26,Critical
2024-01-04 18:00:00,448.27,62.18,907.25,80.29,96.95,Warning
2024-01-04 19:00:00,500.13,70.02,951.33,90.62,86.77,Warning
2024-01-04 20:00:00,488.6,73.2,927.22,96.35,95.93,Warning
2024-01-04 21:00:00,432.94,62.36,908.82,64.04,74.71,Safe
2024-01-04 22:00:00,410.56,54.1,862.2,78.97,71.65,Safe
2024-01-04 23:00:00,468.91,62.43,911.69,84.23,76.82,Safe
2024-01-05 00:00:00,401.39,50.1,873.28,70.49,65.94,Safe
2024-01-05 01:00:00,414.67,46.91,879.7,60.56,59.31,Safe
2024-01-05 02:00:00,396.45,46.53,847.57,59.5,74.12,Safe
2024-01-05 03:00:00,394.49,50.88,827.24,69.25,86.37,Warning
2024-01-05 04:00:00,439.84,59.78,891.3,78.13,74.88,Safe
2024-01-05 05:00:00,384.25,49.05,858.36,60.65,53.48,Safe
2024-01-05 06:00:00,425.88,58.81,904.68,69.02,68.72,Safe
2024-01-05 07:00:00,503.87,60.29,923.17,82.83,96.63,Warning
2024-01-05 08:00:00,481.42,66.79,931.81,82.35,76.16,Safe
2024-01-05 09:00:00,600.0,100.0,1092.0,136.62,137.36,Critical
2024-01-05 10:00:00,583.6,98.08,1100.0,149.41,146.25,Critical
2024-01-05 11:00:00,559.33,84.34,1022.99,134.66,126.51,Critical
2024-01-05 12:00:00,591.31,93.98,1047.53,123.71,127.48,Critical
2024-01-05 13:00:00,572.58,86.56,1065.25,129.36,121.41,Critical
2024-01-05 14:00:00,600.0,99.47,1064.44,137.87,131.87,Critical
2024-01-05 15:00:00,492.29,78.25,914.36,111.62,106.35,Critical
2024-01-05 16:00:00,549.82,91.34,1073.63,129.11,129.29,Critical
2024-01-05 17:00:00,557.31,92.84,1084.24,130.79,140.99,Critical
2024-01-05 18:00:00,469.3,70.63,962.26,88.13,89.52,Warning
2024-01-05 19:00:00,476.73,68.05,911.6,77.49,84.97,Warning
2024-01-05 20:00:00,492.78,75.18,974.6,107.6,126.98,Critical
2024-01-05 21:00:00,536.82,76.95,978.63,111.37,122.02,Critical
2024-01-05 22:00:00,458.79,58.03,878.33,80.1,79.81,Safe
2024-01-05 23:00:00,428.35,57.11,916.62,70.15,75.94,Safe
2024-01-06 00:00:00,439.77,53.1,842.47,67.29,70.38,Safe
2024-01-06 01:00:00,406.59,46.44,839.15,64.94,54.89,Safe
2024-01-06 02:00:00,382.05,47.09,861.72,65.43,60.85,Safe
2024-01-06 03:00:00,327.63,38.94,803.09,31.17,34.22,Safe
2024-01-06 04:00:00,376.15,44.8,851.3,49.23,56.1,Safe
2024-01-06 05:00:00,396.38,51.35,869.15,52.24,50.81,Safe
2024-01-06 06:00:00,429.45,56.64,892.65,74.85,72.95,Safe
2024-01-06 07:00:00,459.81,64.64,931.27,93.07,81.16,Warning
2024-01-06 08:00:00,480.4,69.88,962.9,92.59,97.92,Warning
2024-01-06 09:00:00,494.73,71.85,950.77,92.18,94.51,Warning
2024-01-06 10:00:00,495.94,78.23,962.51,101.08,104.02,Critical
2024-01-06 11:00:00,579.88,93.53,1088.64,150.0,147.26,Critical
2024-01-06 12:00:00,563.29,92.36,1087.36,140.88,160.0,Critical
2024-01-06 13:00:00,530.52,81.93,1015.19,120.06,104.46,Critical
2024-01-06 14:00:00,586.92,93.38,1054.84,135.65,134.68,Critical
2024-01-06 15:00:00,466.3,70.86,920.03,91.29,94.19,Warning
2024-01-06 16:00:00,480.74,71.17,957.74,88.39,92.31,Warning
2024-01-06 17:00:00,519.02,80.17,971.17,100.2,96.6,Warning
2024-01-06 18:00:00,446.6,63.45,884.49,76.05,72.31,Safe
2024-01-06 19:00:00,491.16,69.64,947.74,87.37,90.09,Warning
2024-01-06 20:00:00,480.47,72.64,946.4,91.32,90.33,Warning
2024-01-06 21:00:00,489.46,74.31,979.15,99.83,94.7,Warning
2024-01-06 22:00:00,399.7,52.41,858.55,63.82,59.13,Safe
2024-01-06 23:00:00,439.49,56.05,866.9,67.43,64.0,Safe
2024-01-07 00:00:00,352.23,39.78,761.39,45.73,56.05,Safe
2024-01-07 01:00:00,388.48,45.51,808.79,52.32,61.74,Safe
2024-01-07 02:00:00,412.7,46.26,813.34,59.36,58.35,Safe
2024-01-07 03:00:00,389.35,47.6,811.04,49.89,48.82,Safe
2024-01-07 04:00:00,416.61,50.26,844.06,68.9,71.89,Safe
2024-01-07 05:00:00,397.24,43.46,792.06,47.85,44.29,Safe
2024-01-07 06:00:00,467.82,63.36,913.2,97.65,99.85,Warning
2024-01-07 07:00:00,498.52,74.69,978.74,100.23,108.05,Critical
2024-01-07 08:00:00,476.27,66.82,915.92,88.15,90.01,Warning
2024-01-07 09:00:00,536.06,88.52,1051.96,127.44,131.68,Critical
2024-01-07 10:00:00,567.2,94.53,1042.7,137.47,151.94,Critical
2024-01-07 11:00:00,561.81,92.57,1038.38,135.76,133.44,Critical
2024-01-07 12:00:00,576.17,86.2,1028.51,138.33,150.44,Critical
2024-01-07 13:00:00,520.42,82.95,1029.86,120.04,130.3,Critical
2024-01-07 14:00:00,580.18,97.94,1100.0,138.33,142.67,Critical
2024-01-07 15:00:00,510.79,81.35,1042.22,108.74,109.45,Critical
2024-01-07 16:00:00,585.48,94.41,1063.77,133.26,132.08,Critical
2024-01-07 17:00:00,565.2,90.8,1051.19,139.95,141.09,Critical
2024-01-07 18:00:00,503.37,72.04,937.48,86.79,84.33,Warning
2024-01-07 19:00:00,511.92,75.63,950.57,96.2,90.17,Warning
2024-01-07 20:00:00,445.39,66.18,935.93,84.1,91.7,Warning
